procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 456152  31616 299444    0    0  1386    40  219 1187  2 19 78  1  0
 1  0      0 357696  31616 299444    0    0     0    24  451  170  0 100  0  0  0
 1  0      0 251056  31616 299444    0    0     0     0  447  195  0 100  0  0  0
 2  0   3340  52668  30620 263104    0 3132     0  3132  502  274  0 100  0  0  0
 5  2 276236  73360    184  41264  336 273040 12564 273040  880 1543  2 83  0 15  0
 0  7 359936  52720   2796  51476 2512 84940 13976 84940 1189 2473  0 79  0 21  0
 1  4 452116  85388   1260  56312 3416 93616 11736 93628 1357 3003  2 80  0 18  0
 0  0 451092  79532   3088  58268 4096 1396  9572  1396 1322 2877  1 76  1 22  0
 3  0 527104  52880   2128  53720  924 76448  3128 76448  645 1495  1 49  6 43  0
 2  1 725760  55336    804  42400   12 198564  1232 198564  713 2024  1 77  0 22  0
 2  2 926464  53256   2176  47996    4 200704  7676 200704  764 2276  5 79  0 16  0
 3  0 1016320  52944   2184  54784  232 90112  8320 90124  501 1178  1 48  0 51  0
 1  1 1184256  52648    224  47180   44 169908   680 169908  555 1440  0 58  0 42  0
 2  0 1277864  52492    476  44272    0 92520   568 92520  437  942  1 60  0 38  0
 0  0 1424896  77828    476  44176    0 146236   384 146236  429  834  1 53 25 21  0

//At the 5 lines of bytes in swap in and the amount of virtual memory
// used increase it's mean OS execute this program.
